time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss
20,9000.0,25600,-3985895.6174195,1271,1,,,,,,,,,,
43,9000.0,51200,-3760939.527976,1164,2,0.0,0.2,-9.775161743164062e-06,-1.1010013448596,2.9923200000000002e-05,104236160.376,7.3587756e-07,-1.9372582319192588e-05,10,50529512.0
67,9000.0,76800,-3768594.406967375,1131,3,0.0,0.2,7.665157318115234e-05,-1.1179596039056778,2.98464e-05,89144517.48,4.3128617e-07,-1.571437204256654e-05,20,48600544.0
92,9000.0,102400,-3778583.5219976366,1112,4,0.0,0.2,6.651878356933594e-05,-1.1166288189888,2.97696e-05,101181411.048,2.631871e-07,-1.1458150227554142e-05,30,50193868.0
115,9000.0,128000,-3713002.297668357,1108,5,0.0,0.2,4.607439041137695e-05,-1.112865309357643,2.96928e-05,103891646.776,1.2823847e-07,-6.129324377980083e-06,40,53395528.0
253,9000.0,153600,-3698880.088864412,604,6,0.0,0.2,3.159046173095703e-05,-1.108482353568077,2.9616e-05,91860442.736,2.7897303e-07,-1.2902316520921885e-05,50,45855040.0
277,9000.0,179200,-3671712.6936992635,646,7,0.0,0.2,1.6927719116210938e-05,-1.1150756549835206,2.95392e-05,102213519.552,3.0943193e-07,-1.4717224636115134e-05,60,44733584.0
300,9000.0,204800,-3652386.9265075456,681,8,0.0,0.2,7.927417755126953e-06,-1.105337921500206,2.94624e-05,97199468.76,4.5390334e-07,-1.970134815201163e-05,70,52745480.0
325,9000.0,230400,-3648701.8481390406,707,9,0.0,0.2,1.1146068572998047e-05,-1.0901011320948601,2.93856e-05,71751593.764,8.100667e-07,-3.099709079833701e-05,80,34442916.0
348,9000.0,256000,-3610714.8297218936,733,10,0.0,0.2,6.4373016357421875e-06,-1.1062666816115378,2.9308800000000003e-05,96321491.208,2.2212974e-07,-9.790269657969475e-06,90,48570244.0
486,9000.0,281600,-3613554.9999062265,578,11,0.0,0.2,4.470348358154297e-06,-1.1173865612745284,2.9232e-05,81971449.212,2.2564782e-07,-9.92220698390156e-06,100,43350376.0
510,9000.0,307200,-3605615.0142907356,602,12,0.0,0.2,2.384185791015625e-06,-1.1053232460021973,2.91552e-05,101119522.208,2.3779693e-07,-1.0829028324224055e-05,110,58345696.0
533,9000.0,332800,-3605294.402648167,623,13,0.0,0.2,2.086162567138672e-06,-1.104586347937584,2.9078400000000003e-05,96443850.208,3.98478e-07,-1.815995969809592e-05,120,48415640.0
557,9000.0,358400,-3571998.9515187694,643,14,0.0,0.2,1.1324882507324219e-06,-1.11544664311409,2.90016e-05,90439653.376,3.2758106e-07,-1.5026995446532964e-05,130,44764904.0
580,9000.0,384000,-3571547.8619248094,661,15,0.0,0.2,9.5367431640625e-07,-1.0923401234149932,2.89248e-05,67907527.844,5.27557e-07,-2.0259772310964764e-05,140,35431504.0
718,9000.0,409600,-3562502.704970245,569,16,0.0,0.2,5.960464477539062e-07,-1.0992091315984727,2.8848000000000002e-05,95409852.648,2.6452588e-07,-1.2307549477554858e-05,150,45100040.0
742,9000.0,435200,-3554689.871348396,586,17,0.0,0.2,5.960464477539062e-07,-1.1071531403064727,2.87712e-05,86950640.808,2.7498464e-07,-1.2317357584834099e-05,160,41632420.0
765,9000.0,460800,-3565819.3075903924,601,18,0.0,0.2,2.980232238769531e-07,-1.103530072927475,2.86944e-05,87798232.296,1.8620864e-07,-8.301217807456852e-06,170,49697700.0
789,9000.0,486400,-3563476.2057075556,616,19,0.0,0.2,2.980232238769531e-07,-1.1077668971419334,2.8617600000000002e-05,103191774.12,1.0092743e-07,-5.317614763043821e-06,180,48061108.0
812,9000.0,512000,-3563512.566994321,630,20,0.0,0.2,2.384185791015625e-07,-1.1123121896386146,2.85408e-05,94900965.8,2.408633e-07,-1.2051715864799917e-05,190,51129604.0
950,9000.0,537600,-3551538.615515932,565,21,0.0,0.2,5.960464477539063e-08,-1.0930740808844566,2.8464e-05,87542781.384,3.2312934e-07,-1.4720486244186758e-05,200,43030328.0
973,9000.0,563200,-3550899.3023426128,578,22,0.0,0.2,5.960464477539063e-08,-1.1016880532503128,2.8387199999999998e-05,80304196.944,4.4557964e-07,-1.8717593688052147e-05,210,50113588.0
997,9000.0,588800,-3534959.579278077,590,23,0.0,0.2,0.0,-1.1070936912298202,2.83104e-05,89892849.988,3.3706658e-07,-1.5930294757708907e-05,220,43770732.0
1020,9000.0,614400,-3538305.8250056617,602,24,0.0,0.2,0.0,-1.1026636692881584,2.82336e-05,74938246.464,2.2426946e-07,-9.742197231389582e-06,230,36830684.0
1043,9000.0,640000,-3521402.063823127,613,25,0.0,0.2,2.384185791015625e-07,-1.1026362552642823,2.8156799999999998e-05,98767005.832,3.7879917e-07,-1.8873339053243398e-05,240,55076660.0
1181,9000.0,665600,-3524706.2259029862,563,26,0.0,0.2,5.960464477539063e-08,-1.0971259430646896,2.808e-05,75788229.9,4.9964524e-07,-2.2990688681602477e-05,250,41076412.0
1205,9000.0,691200,-3523125.311560658,573,27,0.0,0.2,0.0,-1.098890547156334,2.8003200000000003e-05,103554438.856,2.2903784e-07,-1.142947911284864e-05,260,48451896.0
1228,9000.0,716800,-3518736.2140732785,583,28,0.0,0.2,0.0,-1.0842459569573402,2.79264e-05,73934275.96,5.2944523e-07,-2.2135218285256997e-05,270,39988904.0
1251,9000.0,742400,-3507705.219960574,592,29,0.0,0.2,0.0,-1.0965831073522567,2.7849600000000002e-05,83206384.54,2.481742e-07,-1.1182798189111054e-05,280,39843552.0
1275,9000.0,768000,-3502326.6327415067,602,30,0.0,0.2,0.0,-1.1003039628863334,2.7772800000000003e-05,77597238.396,4.5485794e-07,-1.885871947160922e-05,290,37047552.0
1413,9000.0,793600,-3496279.165123739,561,31,0.0,0.2,0.0,-1.0978569009304047,2.7696e-05,84610058.372,2.1035085e-07,-1.0409542708657682e-05,300,44766376.0
1436,9000.0,819200,-3495959.962820451,570,32,0.0,0.2,5.960464477539063e-08,-1.0997932906150818,2.76192e-05,83998357.924,2.2220192e-07,-1.0793101275339723e-05,310,47234144.0
1460,9000.0,844800,-3500473.871286377,578,33,0.0,0.2,1.1920928955078125e-07,-1.0971115680336951,2.7542400000000002e-05,94672606.648,1.336704e-07,-6.702744634822011e-06,320,41500824.0
1483,9000.0,870400,-3503673.9363545626,586,34,0.0,0.2,1.1920928955078125e-07,-1.0874610164165497,2.74656e-05,91765757.048,3.5719714e-07,-1.6741855419240892e-05,330,48134128.0
1507,9000.0,896000,-3502158.878572667,594,35,0.0,0.2,5.960464477539063e-08,-1.0995528938174248,2.73888e-05,87546544.976,1.8561026e-07,-9.493100340478123e-06,340,40273972.0
1645,9000.0,921600,-3490536.89710605,560,36,0.0,0.2,0.0,-1.0920632365942002,2.7312e-05,84141681.216,2.7260742e-07,-1.2766602332703769e-05,350,39593288.0
1668,9000.0,947200,-3476924.180433819,567,37,0.0,0.2,0.0,-1.0980974752902986,2.72352e-05,86787498.064,3.272877e-07,-1.606085622915998e-05,360,43117016.0
1692,9000.0,972800,-3465714.7340897797,574,38,0.0,0.2,1.7881393432617188e-07,-1.0955816962122917,2.71584e-05,77047519.948,2.9170653e-07,-1.3686036574654281e-05,370,38039616.0
1715,9000.0,998400,-3455370.50918777,581,39,0.0,0.2,5.960464477539063e-08,-1.0882369148731232,2.70816e-05,89196616.28,1.9976636e-07,-1.0156632983125746e-05,380,42967328.0
1739,9000.0,1024000,-3444388.68583229,588,40,0.0,0.2,0.0,-1.0942665182948113,2.70048e-05,81706329.752,3.5733916e-07,-1.581016986165196e-05,390,44697896.0
1877,9000.0,1049600,-3434330.9607038395,559,41,0.0,0.2,0.0,-1.087201897919178,2.6928e-05,63155974.492,3.1913862e-07,-1.3411683728918434e-05,400,28021784.0
1900,9000.0,1075200,-3416524.7581541003,565,42,0.0,0.2,1.7881393432617188e-07,-1.1016506291627883,2.68512e-05,74810895.692,2.9050744e-07,-1.3419716502539813e-05,410,36510764.0
1923,9000.0,1100800,-3413507.31254485,572,43,0.0,0.2,0.0,-1.0941925683617593,2.67744e-05,63382705.28,4.3752138e-07,-1.868815452326089e-05,420,32121620.0
1947,9000.0,1126400,-3400157.57011823,578,44,0.0,0.2,5.960464477539063e-08,-1.0939008165597917,2.6697600000000003e-05,88538125.624,1.9008526e-07,-9.61385341361165e-06,430,49889468.0
1970,9000.0,1152000,-3397355.6064660996,584,45,0.0,0.2,5.960464477539063e-08,-1.1030320755243301,2.66208e-05,77493086.14,2.0066975e-07,-9.8047704086639e-06,440,40615072.0
2108,9000.0,1177600,-3390061.877224451,558,46,0.0,0.2,-1.1920928955078125e-07,-1.101459725856781,2.6544000000000002e-05,78852135.224,2.2863038e-07,-1.0796175803989172e-05,450,37759192.0
2131,9000.0,1203200,-3381293.46887833,564,47,0.0,0.2,0.0,-1.0776100841760636,2.6467200000000003e-05,71760634.62,5.339924e-07,-2.2871579509228468e-05,460,39256776.0
2155,9000.0,1228800,-3369896.1702661105,570,48,0.0,0.2,0.0,-1.0910252953767776,2.63904e-05,76578902.888,2.4325215e-07,-1.1314086150377988e-05,470,37020028.0
2178,9000.0,1254400,-3375221.697741479,575,49,0.0,0.2,-1.1920928955078125e-07,-1.1007638248205185,2.63136e-05,68560406.932,1.5177764e-07,-6.838262430392206e-06,480,38713784.0
2202,9000.0,1280000,-3366504.0816922397,581,50,0.0,0.2,5.960464477539063e-08,-1.0932892249822617,2.62368e-05,84923032.176,2.0668143e-07,-9.739038243424147e-06,490,42687996.0
2341,9000.0,1305600,-3356701.8139661895,557,51,0.0,0.2,0.0,-1.0882354882359504,2.616e-05,78699174.096,3.185263e-07,-1.4552207081578672e-05,500,40649712.0
2364,9000.0,1331200,-3350232.34573006,562,52,0.0,0.2,0.0,-1.0998203636407853,2.60832e-05,73550175.552,1.7993152e-07,-8.949629613198339e-06,510,30929800.0
2387,9000.0,1356800,-3334093.6853296594,568,53,0.0,0.2,0.0,-1.0746981849074364,2.60064e-05,73383757.664,4.8356594e-07,-2.1999265998601913e-05,520,37803860.0
2411,9000.0,1382400,-3319009.18801479,573,54,0.0,0.2,1.1920928955078125e-07,-1.0884130446910858,2.59296e-05,62066541.952,2.4940817e-07,-1.0509567451663316e-05,530,32889094.0
2434,9000.0,1408000,-3312690.11097856,578,55,0.0,0.2,1.7881393432617188e-07,-1.0840753071904183,2.58528e-05,67999068.06,2.885121e-07,-1.33830081904307e-05,540,35499312.0
2572,9000.0,1433600,-3308103.2201385796,557,56,0.0,0.2,0.0,-1.0861883536577224,2.5776e-05,83463033.452,2.655643e-07,-1.2878876470495015e-05,550,37973572.0
2595,9000.0,1459200,-3299212.52660545,562,57,0.0,0.2,5.960464477539063e-08,-1.0950739963650704,2.5699200000000003e-05,75492663.224,3.5942531e-07,-1.7028424073942006e-05,560,40314116.0
2619,9000.0,1484800,-3294127.6488865595,566,58,0.0,0.2,0.0,-1.0870219013094902,2.56224e-05,80701317.732,2.4151987e-07,-1.241934869904071e-05,570,34912648.0
2642,9000.0,1510400,-3282412.72224643,571,59,0.0,0.2,0.0,-1.084105475962162,2.55456e-05,66370129.912,2.84079e-07,-1.3854487973731011e-05,580,31996652.0
2665,9000.0,1536000,-3276949.5718834703,576,60,0.0,0.2,0.0,-1.0672373009324074,2.54688e-05,69858332.956,3.512483e-07,-1.590248045977205e-05,590,35583476.0
2803,9000.0,1561600,-3266803.5293291807,557,61,0.0,0.2,0.0,-1.0918240423202514,2.5392000000000004e-05,63867549.42,1.8714462e-07,-8.78531753551215e-06,600,34634992.0
2826,9000.0,1587200,-3248651.30504957,561,62,0.0,0.2,5.960464477539063e-08,-1.0878015778064727,2.53152e-05,71384834.076,2.1338928e-07,-1.0003176284953952e-05,610,31037784.0
2849,9000.0,1612800,-3235203.1344099296,565,63,0.0,0.2,1.1920928955078125e-07,-1.0860883837938309,2.5238400000000002e-05,61525703.372,3.9848265e-07,-1.8447600654326378e-05,620,33546262.0
2872,9000.0,1638400,-3226618.36853324,570,64,0.0,0.2,1.7881393432617188e-07,-1.0834407586455346,2.51616e-05,68548817.56,2.30812e-07,-1.1471772450022399e-05,630,36021160.0
2896,9000.0,1664000,-3216799.0430309,574,65,0.0,0.2,0.0,-1.0848625937104226,2.50848e-05,66078368.644,3.6279903e-07,-1.809652161318809e-05,640,31091468.0
3033,9000.0,1689600,-3207219.7209276203,557,66,0.0,0.2,0.0,-1.0776162512898446,2.5008000000000002e-05,64248402.48,2.9555756e-07,-1.3179323985241354e-05,650,32748756.0
3056,9000.0,1715200,-3197393.35731237,561,67,0.0,0.2,1.1920928955078125e-07,-1.0840410069227218,2.49312e-05,58340039.596,1.9038096e-07,-7.912441389635206e-06,660,27805536.0
3079,9000.0,1740800,-3179463.23837802,565,68,0.0,0.2,0.0,-1.0785180220603943,2.48544e-05,72358115.78,3.4588854e-07,-1.665110234171152e-05,670,37484264.0
3103,9000.0,1766400,-3163070.4858162403,569,69,0.0,0.2,1.7881393432617188e-07,-1.0806780365109443,2.47776e-05,67018426.048,3.1650765e-07,-1.4947974006645382e-05,680,31004902.0
3126,9000.0,1792000,-3149236.68963314,573,70,0.0,0.2,0.0,-1.0851943987607955,2.47008e-05,68925092.68,2.3233471e-07,-1.1645266902633012e-05,690,36016768.0
3263,9000.0,1817600,-3145004.1268142993,556,71,0.0,0.2,1.1920928955078125e-07,-1.0915414230227471,2.4624e-05,68323477.124,6.1850994e-07,-2.879947965266183e-05,700,35013048.0
3286,9000.0,1843200,-3131847.0455319397,560,72,0.0,0.2,0.0,-1.0779856256246567,2.45472e-05,73883599.856,3.9051753e-07,-1.8694141181185843e-05,710,35911152.0
3310,9000.0,1868800,-3134252.07624323,564,73,0.0,0.2,-1.1920928955078125e-07,-1.0753403944969178,2.44704e-05,53506505.788,2.322835e-07,-1.0353748395573348e-05,720,28028352.0
3333,9000.0,1894400,-3117922.8034556997,568,74,0.0,0.2,1.7881393432617188e-07,-1.0887162878513337,2.4393600000000003e-05,73588642.088,2.647005e-07,-1.2463251827284693e-05,730,34510716.0
3356,9000.0,1920000,-3108620.42703568,571,75,0.0,0.2,0.0,-1.0765949863195419,2.43168e-05,62066687.496,1.9567088e-07,-8.940097002778201e-06,740,32050160.0
3494,9000.0,1945600,-3096217.17325551,556,76,0.0,0.2,1.1920928955078125e-07,-1.0752540448904038,2.4240000000000002e-05,61876155.996,3.60182e-07,-1.6537983203306793e-05,750,31536500.0
3518,9000.0,1971200,-3106074.6167098503,560,77,0.0,0.2,1.1920928955078125e-07,-1.0850503247380257,2.41632e-05,62355128.328,3.1006755e-07,-1.463357504690066e-05,760,31091222.0
3541,9000.0,1996800,-3101243.4962704903,563,78,0.0,0.2,0.0,-1.076835104584694,2.40864e-05,77641631.076,2.2073044e-07,-1.1394995730370283e-05,770,43032112.0
3565,9000.0,2022400,-3092377.1221944205,567,79,0.0,0.2,1.1920928955078125e-07,-1.0687035966515541,2.40096e-05,58367179.228,4.316494e-07,-1.8701334483921527e-05,780,33566068.0
3588,9000.0,2048000,-3090042.0392439496,570,80,0.0,0.2,5.960464477539063e-08,-1.0720423359274864,2.3932800000000002e-05,67435650.04,1.8055783e-07,-9.600391378626227e-06,790,32834168.0
3727,9000.0,2073600,-3078388.25395505,556,81,0.0,0.2,0.0,-1.0685356696248054,2.3856e-05,66141341.54,1.7185462e-07,-8.262412738986314e-06,800,28105434.0
3750,9000.0,2099200,-3065226.4297748697,559,82,0.0,0.2,0.0,-1.0805293300747871,2.37792e-05,64096646.596,2.2403198e-07,-1.1066526523791254e-05,810,31857244.0
3773,9000.0,2124800,-3068380.255285131,563,83,0.0,0.2,0.0,-1.0713865256905555,2.3702400000000002e-05,69008283.356,3.000931e-07,-1.4970421092584729e-05,820,29518524.0
3797,9000.0,2150400,-3062578.94611314,566,84,0.0,0.2,5.960464477539063e-08,-1.0786950138807296,2.36256e-05,77455711.512,1.1346303e-07,-6.362756423186511e-06,830,40692600.0
3820,9000.0,2176000,-3055128.0374091594,569,85,0.0,0.2,1.1920928955078125e-07,-1.0622165699005126,2.35488e-05,67196673.112,2.1314015e-07,-1.1291442438960075e-05,840,28361412.0
3958,9000.0,2201600,-3045384.4141906695,556,86,0.0,0.2,0.0,-1.0663943249583245,2.3472e-05,63860994.572,1.8842519e-07,-9.001792408525944e-06,850,33469668.0
3981,9000.0,2227200,-3040957.3280528206,559,87,0.0,0.2,-1.1920928955078125e-07,-1.0720046215057373,2.33952e-05,55462018.848,2.5450717e-07,-1.1900071462150663e-05,860,27751532.0
4004,9000.0,2252800,-3033370.39450572,562,88,0.0,0.2,0.0,-1.0808734248280525,2.33184e-05,66260800.124,2.3013213e-07,-1.146022224565968e-05,870,37815460.0
4028,9000.0,2278400,-3028381.2579152007,565,89,0.0,0.2,1.1920928955078125e-07,-1.071597635924816,2.3241599999999998e-05,58815768.916,2.3061409e-07,-1.0573695763014256e-05,880,26287648.0
4051,9000.0,2304000,-3013308.0981235993,568,90,0.0,0.2,1.7881393432617188e-07,-1.0766142336130142,2.31648e-05,64240621.072,2.5340822e-07,-1.2880886322818697e-05,890,27371264.0
4189,9000.0,2329600,-3014686.7334235203,556,91,0.0,0.2,0.0,-1.0717982540726663,2.3088000000000003e-05,63082709.652,1.802668e-07,-9.370267362101003e-06,900,33003470.0
4212,9000.0,2355200,-3005157.6288517904,559,92,0.0,0.2,1.1920928955078125e-07,-1.0557843294143676,2.3011199999999997e-05,59419001.916,1.879572e-07,-8.841582341119647e-06,910,26629902.0
4235,9000.0,2380800,-3000315.207226179,562,93,0.0,0.2,0.0,-1.0709945811033248,2.2934400000000002e-05,62016512.616,2.0993873e-07,-1.0480009135790168e-05,920,29943692.0
4258,9000.0,2406400,-2993879.76618441,565,94,0.0,0.2,0.0,-1.0850862712860108,2.28576e-05,63775501.704,1.8668361e-07,-9.686777950264514e-06,930,34187732.0
4282,9000.0,2432000,-2984120.39166581,567,95,0.0,0.2,0.0,-1.0702666204571725,2.27808e-05,62814957.228,1.415168e-07,-7.250356953591108e-06,940,32310644.0
4419,9000.0,2457600,-2981361.9413692188,556,96,0.0,0.2,0.0,-1.068879348397255,2.2704e-05,58937060.628,2.1347543e-07,-1.0453802708070725e-05,950,28475126.0
4443,9000.0,2483200,-2981751.1382869794,558,97,0.0,0.2,0.0,-1.0633186369538308,2.2627200000000003e-05,69249873.976,3.6039623e-07,-1.966400525998324e-05,960,32336420.0
4466,9000.0,2508800,-2984763.9384852797,561,98,0.0,0.2,0.0,-1.061724058151245,2.25504e-05,64502058.04,2.4853972e-07,-1.2770936591550707e-05,970,37188908.0
4490,9000.0,2534400,-2985570.7419555,564,99,0.0,0.2,1.1920928955078125e-07,-1.0606790962815285,2.24736e-05,58292848.784,3.1270554e-07,-1.5464328811503947e-05,980,28525694.0
4513,9000.0,2560000,-2983452.4970214902,567,100,0.0,0.2,-1.1920928955078125e-07,-1.0677056397199631,2.2396800000000002e-05,68751586.272,1.5495345e-07,-8.058293140493333e-06,990,34854664.0
4650,9000.0,2585600,-2966060.11785848,555,101,0.0,0.2,0.0,-1.0722701798081398,2.232e-05,55857113.94,1.6442267e-07,-8.252559811808168e-06,1000,26819250.0
4674,9000.0,2611200,-2956176.43937881,558,102,0.0,0.2,5.960464477539063e-08,-1.0681608964204787,2.22432e-05,42479069.872,4.076492e-07,-1.785905717406422e-05,1010,23342456.0
4697,9000.0,2636800,-2958588.0721410806,561,103,0.0,0.2,0.0,-1.0682337985038757,2.21664e-05,60899998.896,3.3393502e-07,-1.7079055425710978e-05,1020,30911412.0
4721,9000.0,2662400,-2950716.05465432,563,104,0.0,0.2,0.0,-1.065495812535286,2.20896e-05,68368179.904,1.5080441e-07,-8.82908928906545e-06,1030,35706056.0
4744,9000.0,2688000,-2942078.10556724,566,105,0.0,0.2,5.960464477539063e-08,-1.0545349544286728,2.20128e-05,47432286.396,2.475758e-07,-1.0783932055346667e-05,1040,28970392.0
4882,9000.0,2713600,-2939303.64837071,555,106,0.0,0.2,0.0,-1.0743060982823371,2.1936e-05,54935699.108,1.7562648e-07,-9.055905160494149e-06,1050,31830476.0
4906,9000.0,2739200,-2939582.5541832,558,107,0.0,0.2,5.960464477539063e-08,-1.0649106790423393,2.18592e-05,65782157.488,2.2134046e-07,-1.1763316579163074e-05,1060,29784336.0
4929,9000.0,2764800,-2928638.1329435194,560,108,0.0,0.2,-1.1920928955078125e-07,-1.0669075394272804,2.1782400000000003e-05,63063878.332,1.3573793e-07,-7.802787120454013e-06,1070,36412524.0
4952,9000.0,2790400,-2920956.8317504,563,109,0.0,0.2,0.0,-1.0587992189526558,2.1705599999999998e-05,65075436.176,2.961862e-07,-1.628553355112672e-05,1080,30167236.0
4976,9000.0,2816000,-2913231.3184655593,565,110,0.0,0.2,1.7881393432617188e-07,-1.0580361335277557,2.1628800000000002e-05,53468186.132,2.972316e-07,-1.4238313946407289e-05,1090,24872902.0
5114,9000.0,2841600,-2904425.4562865705,555,111,0.0,0.2,0.0,-1.0467105650305748,2.1552e-05,47831469.662,3.3662423e-07,-1.538221025839448e-05,1100,22132514.0
5137,9000.0,2867200,-2892466.68682917,558,112,0.0,0.2,0.0,-1.0708963504433633,2.14752e-05,44610176.938,5.3267695e-07,-2.5031170109286904e-05,1110,21484752.0
5161,9000.0,2892800,-2879332.46112759,560,113,0.0,0.2,1.1920928955078125e-07,-1.070080392420292,2.13984e-05,52994754.172,1.7815037e-07,-9.057028539245948e-06,1120,27376698.0
5184,9000.0,2918400,-2870632.4897697796,562,114,0.0,0.2,1.1920928955078125e-07,-1.061906673014164,2.1321600000000003e-05,52126029.352,2.3585278e-07,-1.2498004012741148e-05,1130,27796256.0
5208,9000.0,2944000,-2856133.5685102493,565,115,0.0,0.2,0.0,-1.0624456670880318,2.12448e-05,57465517.828,2.1692132e-07,-1.1007132241502404e-05,1140,30496578.0
5346,9000.0,2969600,-2854223.6208909596,555,116,0.0,0.2,5.960464477539063e-08,-1.066314245700836,2.1168e-05,47336457.344,3.3146236e-07,-1.5923796803690492e-05,1150,23460848.0
5369,9000.0,2995200,-2844055.2075677896,557,117,0.0,0.2,0.0,-1.0535994532704354,2.10912e-05,59025481.964,1.9886531e-07,-1.1046774801798165e-05,1160,26885688.0
5392,9000.0,3020800,-2826233.7573597305,560,118,0.0,0.2,0.0,-1.0547872135043144,2.10144e-05,44965872.912,3.4123192e-07,-1.5786368399858475e-05,1170,23520204.0
5416,9000.0,3046400,-2819858.68918034,562,119,0.0,0.2,1.1920928955078125e-07,-1.0566524060368538,2.09376e-05,52452564.5,2.1465588e-07,-1.0964180692099035e-05,1180,22313444.0
5439,9000.0,3072000,-2807212.3844508203,564,120,0.0,0.2,-1.1920928955078125e-07,-1.0603273191452027,2.08608e-05,58163415.044,1.653703e-07,-8.969965390861034e-06,1190,26660504.0
5577,9000.0,3097600,-2804154.2494758205,555,121,0.0,0.2,1.1920928955078125e-07,-1.0637389962673187,2.0784000000000003e-05,54489360.472,1.2425008e-07,-6.664453423582017e-06,1200,28526300.0
5600,9000.0,3123200,-2793076.9266835395,557,122,0.0,0.2,0.0,-1.0599928944706918,2.07072e-05,55424475.024,2.48563e-07,-1.294062758097425e-05,1210,31977064.0
5624,9000.0,3148800,-2799240.03369066,559,123,0.0,0.2,0.0,-1.0576682493686675,2.06304e-05,54844943.524,2.1921005e-07,-1.1989766731858254e-05,1220,30025180.0
5648,9000.0,3174400,-2787052.3672659295,562,124,0.0,0.2,0.0,-1.0397093636989594,2.05536e-05,56305341.724,2.1699816e-07,-1.1988043726887553e-05,1230,27064748.0
5671,9000.0,3200000,-2781686.6145652197,564,125,0.0,0.2,5.960464477539063e-08,-1.0610762003064156,2.0476800000000004e-05,47569555.908,2.165488e-07,-1.110452925786376e-05,1240,24611780.0
