time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
1,20,25600,9000.0,-4879087.399809999,1279,,,,,,,,,,
2,43,51200,9000.0,-4721961.065991799,1180,172509634.408,72990008.0,0.2,-1.0746812156867235e-05,2.9923200000000002e-05,10,3.3078481e-07,-1.0656847445368767,0.0,-7.033348083496094e-06
3,68,76800,9000.0,-4671006.4502975,1127,142995176.88,80464192.0,0.2,-1.2893499515485019e-05,2.98464e-05,20,3.011455e-07,-1.089742887198925,0.0,7.975101470947266e-05
4,91,102400,9000.0,-4690307.116396273,1118,161172449.208,85446488.0,0.2,-1.3977799913845957e-05,2.97696e-05,30,2.6606023e-07,-1.0949830987453462,0.0,7.62939453125e-05
5,114,128000,9000.0,-4738989.075916071,1114,181343424.0,85048240.0,0.2,-8.246512268669904e-06,2.96928e-05,40,1.3401034e-07,-1.0886636207103728,0.0,4.202127456665039e-05
6,253,153600,9000.0,-4756998.405559825,605,193833463.28,109756744.0,0.2,-1.0156534728594124e-05,2.9616e-05,50,1.7252052e-07,-1.095861672639847,0.0,2.2590160369873047e-05
7,276,179200,9000.0,-4742162.357194527,646,187903188.128,91394576.0,0.2,-7.531439478043467e-06,2.95392e-05,60,1.3100914e-07,-1.1027888280153275,0.0,1.8298625946044922e-05
8,300,204800,9000.0,-4697801.246723591,681,158879540.16,73850552.0,0.2,-1.405129034537822e-05,2.94624e-05,70,2.6644207e-07,-1.0868269801735877,0.0,1.0609626770019531e-05
9,324,230400,9000.0,-4697577.732590441,710,131649739.504,65467896.0,0.2,-9.094804525375366e-06,2.93856e-05,80,1.7246464e-07,-1.0760121977329253,0.0,6.377696990966797e-06
10,347,256000,9000.0,-4680281.261625108,736,168948652.24,94770976.0,0.2,-1.1722710798494518e-05,2.9308800000000003e-05,90,2.1638581e-07,-1.0947637351155282,0.0,3.635883331298828e-06
11,485,281600,9000.0,-4667159.827205968,580,163229573.064,86147728.0,0.2,-7.606645813211798e-06,2.9232e-05,100,1.4676247e-07,-1.0877355431318283,0.0,2.086162567138672e-06
12,508,307200,9000.0,-4667943.673571531,604,161926849.008,77262656.0,0.2,-9.192328143399209e-06,2.91552e-05,110,1.5672529e-07,-1.094883859336376,0.0,1.6093254089355469e-06
13,531,332800,9000.0,-4663450.915301863,625,173371609.392,94160240.0,0.2,-9.121441747993231e-06,2.9078400000000003e-05,120,1.4373799e-07,-1.0932894641160964,0.0,9.5367431640625e-07
14,555,358400,9000.0,-4650556.841003694,645,168420854.088,77739624.0,0.2,-1.208838337333873e-05,2.90016e-05,130,1.9571279e-07,-1.1018087587356566,0.0,6.556510925292969e-07
15,578,384000,9000.0,-4659738.468225048,663,143588962.432,65641256.0,0.2,-9.336224989965559e-06,2.89248e-05,140,1.64581e-07,-1.0757513234615326,0.0,4.172325134277344e-07
16,716,409600,9000.0,-4639921.354223644,571,156274419.072,62636944.0,0.2,-1.1314221657812595e-05,2.8848000000000002e-05,150,1.9817381e-07,-1.0999107739925384,0.0,4.172325134277344e-07
17,739,435200,9000.0,-4637125.507163708,588,145984449.92,66035516.0,0.2,-1.236030797008425e-05,2.87712e-05,160,2.5661663e-07,-1.0870302830338479,0.0,2.980232238769531e-07
18,763,460800,9000.0,-4634914.121414216,603,164971792.696,73809416.0,0.2,-1.0438626835821197e-05,2.86944e-05,170,1.8091174e-07,-1.0941940363645553,0.0,1.7881393432617188e-07
19,786,486400,9000.0,-4628056.40480126,618,169522126.584,96450944.0,0.2,-9.86834114883095e-06,2.8617600000000002e-05,180,1.6957522e-07,-1.084860271513462,0.0,1.7881393432617188e-07
20,810,512000,9000.0,-4620155.667773357,631,163711129.032,79057320.0,0.2,-9.811319294385612e-06,2.85408e-05,190,1.6374281e-07,-1.0927149644494056,0.0,1.1920928955078125e-07
21,948,537600,9000.0,-4615245.309761237,566,155176345.928,80263376.0,0.2,-3.103175316937268e-06,2.8464e-05,200,5.0240196e-08,-1.0728972899913787,0.0,5.960464477539063e-08
22,971,563200,9000.0,-4603951.141978596,579,128455656.536,78318480.0,0.2,-1.9356138887815178e-05,2.8387199999999998e-05,210,3.7211692e-07,-1.0841242101788522,0.0,2.980232238769531e-07
23,995,588800,9000.0,-4603089.310306892,591,146116274.776,70157592.0,0.2,-6.2883069331292065e-06,2.83104e-05,220,1.075468e-07,-1.0910590000152587,0.0,2.384185791015625e-07
24,1018,614400,9000.0,-4592193.977967427,603,166005689.368,69003792.0,0.2,-7.574846618808806e-06,2.82336e-05,230,1.2575882e-07,-1.0961816989779471,0.0,0.0
25,1041,640000,9000.0,-4594017.717956029,614,150996620.296,72978816.0,0.2,-8.794334367848932e-06,2.8156799999999998e-05,240,1.6265317e-07,-1.0897260990142823,0.0,5.960464477539063e-08
26,1179,665600,9000.0,-4597834.731780001,564,171458101.672,91748624.0,0.2,-6.0946763260290026e-06,2.808e-05,250,9.622192e-08,-1.0905776201486588,0.0,5.960464477539063e-08
27,1202,691200,9000.0,-4597797.93025062,574,179695194.016,111175056.0,0.2,-8.839217363856733e-06,2.8003200000000003e-05,260,1.4591497e-07,-1.091256919980049,0.0,1.1920928955078125e-07
28,1225,716800,9000.0,-4592274.1955798995,584,132321447.96,76132128.0,0.2,-1.7443090793676673e-05,2.79264e-05,270,3.4752534e-07,-1.0750824436545372,0.0,5.960464477539063e-08
29,1249,742400,9000.0,-4593200.249008976,594,149330057.456,68216816.0,0.2,-7.809079368598759e-06,2.7849600000000002e-05,280,1.3117679e-07,-1.0876766400337219,0.0,0.0
30,1272,768000,9000.0,-4590767.041684283,603,168725773.632,89887096.0,0.2,-3.823512583039701e-06,2.7772800000000003e-05,290,5.5972485e-08,-1.0864013706445694,0.0,5.960464477539063e-08
31,1409,793600,9000.0,-4585195.374615842,562,166087720.4,87069784.0,0.2,-6.280037458054721e-06,2.7696e-05,300,9.4212595e-08,-1.088923167169094,0.0,5.960464477539063e-08
32,1432,819200,9000.0,-4584231.5004523955,571,161022147.68,94310232.0,0.2,-1.0243127821013331e-05,2.76192e-05,310,1.6188481e-07,-1.0881899985074996,0.0,0.0
33,1456,844800,9000.0,-4582397.911435162,580,168960363.688,76516440.0,0.2,-1.2296101718675345e-05,2.7542400000000002e-05,320,1.9966858e-07,-1.0825250561833382,0.0,-1.1920928955078125e-07
34,1479,870400,9000.0,-4575013.112628001,588,147982023.72,76483808.0,0.2,-9.33109363541007e-06,2.74656e-05,330,1.6943784e-07,-1.074837376356125,0.0,0.0
35,1502,896000,9000.0,-4573270.306069203,596,119886427.568,67020696.0,0.2,-1.761342503596097e-05,2.73888e-05,340,3.3963937e-07,-1.0808650912046434,0.0,1.1920928955078125e-07
36,1640,921600,9000.0,-4575064.69256374,561,165371630.72,82310376.0,0.2,-4.208912840113044e-06,2.7312e-05,350,6.228685e-08,-1.0842869028449058,0.0,0.0
37,1663,947200,9000.0,-4571307.28507183,569,181536431.84,90200224.0,0.2,-6.861817906610668e-06,2.72352e-05,360,1.124735e-07,-1.0853116776943206,0.0,0.0
38,1686,972800,9000.0,-4560868.9096899405,576,158942322.504,78191952.0,0.2,-6.243578885914758e-06,2.71584e-05,370,9.2354604e-08,-1.090859196960926,0.0,1.1920928955078125e-07
39,1709,998400,9000.0,-4552244.41225103,583,146597427.064,59243280.0,0.2,-1.0600005392916501e-05,2.70816e-05,380,1.649349e-07,-1.0793603276610375,0.0,0.0
40,1733,1024000,9000.0,-4534655.486292991,590,145727199.424,77988664.0,0.2,-1.164888811763376e-05,2.70048e-05,390,2.061925e-07,-1.0752734804153443,0.0,0.0
41,1870,1049600,9000.0,-4518306.18125301,561,129133766.32,67093816.0,0.2,-1.6750579699873923e-05,2.6928e-05,400,3.0918977e-07,-1.0718939946889878,0.0,1.1920928955078125e-07
42,1894,1075200,9000.0,-4502665.33856223,567,132594805.752,68355008.0,0.2,-5.084213917143643e-06,2.68512e-05,410,9.554671e-08,-1.0845111184716225,0.0,0.0
43,1917,1100800,9000.0,-4505533.49858149,574,140131361.856,60319576.0,0.2,-6.12144049955532e-06,2.67744e-05,420,1.0610791e-07,-1.08749332934618,0.0,-1.1920928955078125e-07
44,1940,1126400,9000.0,-4492479.9430228695,580,159550615.472,75268624.0,0.2,-9.784275433048605e-06,2.6697600000000003e-05,430,1.600501e-07,-1.0846899638772012,0.0,0.0
45,1963,1152000,9000.0,-4477778.72202677,586,142880647.16,70906464.0,0.2,-1.281795953400433e-05,2.66208e-05,440,2.0934735e-07,-1.0807840141057967,0.0,0.0
46,2101,1177600,9000.0,-4477542.086889651,560,131312793.304,63805112.0,0.2,-1.646605716086924e-05,2.6544000000000002e-05,450,2.7247938e-07,-1.081725469470024,0.0,1.7881393432617188e-07
47,2124,1203200,9000.0,-4467631.883623281,566,144071714.912,77175024.0,0.2,-1.0436028387630359e-05,2.6467200000000003e-05,460,1.8387567e-07,-1.0672239182591439,0.0,1.7881393432617188e-07
48,2147,1228800,9000.0,-4465015.08537305,572,127064505.808,56865052.0,0.2,-1.038372126640752e-05,2.63904e-05,470,1.8078136e-07,-1.075967710316181,0.0,0.0
49,2171,1254400,9000.0,-4460654.44068017,577,155870151.736,93613848.0,0.2,-8.698399062268436e-06,2.63136e-05,480,1.4110934e-07,-1.0809300560355186,0.0,0.0
50,2194,1280000,9000.0,-4447336.718208961,583,149790234.216,70348552.0,0.2,-1.01275589549914e-05,2.62368e-05,490,1.7447397e-07,-1.0871325829029084,0.0,1.1920928955078125e-07
51,2331,1305600,9000.0,-4445037.91212543,559,153499997.984,75506024.0,0.2,-7.866176893003286e-06,2.616e-05,500,1.1540949e-07,-1.0793588976264,0.0,0.0
52,2355,1331200,9000.0,-4435232.34922814,565,147235094.408,73399488.0,0.2,-1.1312661794363521e-05,2.60832e-05,510,1.9082567e-07,-1.0757501808404923,0.0,0.0
53,2378,1356800,9000.0,-4430267.172147901,570,150252533.688,71371072.0,0.2,-7.846049848012625e-06,2.60064e-05,520,1.2747478e-07,-1.0808751728534698,0.0,5.960464477539063e-08
54,2401,1382400,9000.0,-4412795.20731188,575,107873524.952,66559492.0,0.2,-8.87795171001926e-06,2.59296e-05,530,1.6754726e-07,-1.0623936435580255,0.0,0.0
55,2424,1408000,9000.0,-4404307.20770393,580,123441460.312,55843696.0,0.2,-8.587192103732377e-06,2.58528e-05,540,1.6492558e-07,-1.0824699295759201,0.0,1.1920928955078125e-07
56,2562,1433600,9000.0,-4403998.72942537,559,135925662.456,62643304.0,0.2,-1.5291167015675456e-05,2.5776e-05,550,2.499367e-07,-1.0854376663565635,0.0,0.0
57,2585,1459200,9000.0,-4404705.432832661,564,161199272.648,96848096.0,0.2,-5.1594881806522605e-06,2.5699200000000003e-05,560,7.586088e-08,-1.076364845752716,0.0,5.960464477539063e-08
58,2608,1484800,9000.0,-4404649.3422389,569,155700154.504,69669024.0,0.2,-1.2581974500790239e-05,2.56224e-05,570,1.9078608e-07,-1.0838532982468605,0.0,0.0
59,2632,1510400,9000.0,-4395167.068790919,573,172225733.232,83148448.0,0.2,-8.323709829710425e-06,2.55456e-05,580,1.3324897e-07,-1.0821381164789199,0.0,5.960464477539063e-08
60,2655,1536000,9000.0,-4399104.8624178795,578,123888525.96,54756596.0,0.2,-1.0224915109574795e-05,2.54688e-05,590,1.9605271e-07,-1.061309538781643,0.0,1.7881393432617188e-07
61,2792,1561600,9000.0,-4388467.650362829,559,141562801.688,70175016.0,0.2,-5.868495733011514e-06,2.5392000000000004e-05,600,8.973991e-08,-1.0779710307717323,0.0,0.0
62,2816,1587200,9000.0,-4379089.9962368,563,145163839.104,74072368.0,0.2,-4.137507698033005e-06,2.53152e-05,610,5.741138e-08,-1.0744515724182129,0.0,0.0
63,2839,1612800,9000.0,-4379229.61516059,568,142193843.904,74645632.0,0.2,-9.698403941001742e-06,2.5238400000000002e-05,620,1.4730031e-07,-1.0748313481211662,0.0,0.0
64,2862,1638400,9000.0,-4364259.47611034,572,159358476.344,88353456.0,0.2,-6.461349781602621e-06,2.51616e-05,630,9.1134574e-08,-1.0871558208465577,0.0,1.1920928955078125e-07
65,2885,1664000,9000.0,-4354986.89136303,576,140043089.752,77257400.0,0.2,-8.45094199758023e-06,2.50848e-05,640,1.4015706e-07,-1.0764612793326378,0.0,2.384185791015625e-07
66,3023,1689600,9000.0,-4359889.08335782,558,145158609.288,63774216.0,0.2,-9.134936146438122e-06,2.5008000000000002e-05,650,1.628627e-07,-1.0599892424345017,0.0,0.0
67,3046,1715200,9000.0,-4353829.93722876,562,127561329.92,62470088.0,0.2,-4.332646960392595e-06,2.49312e-05,660,6.8601224e-08,-1.0738062462210656,0.0,0.0
68,3070,1740800,9000.0,-4349590.33126274,567,151431743.632,78057336.0,0.2,-6.835317879449576e-06,2.48544e-05,670,9.5719e-08,-1.0720036118626595,0.0,0.0
69,3093,1766400,9000.0,-4349337.26331414,570,147449608.336,78031272.0,0.2,-8.170643413905054e-06,2.47776e-05,680,1.2700679e-07,-1.0726039410233497,0.0,5.960464477539063e-08
70,3117,1792000,9000.0,-4341082.3128512,574,150579697.248,73231832.0,0.2,-9.81730199418962e-06,2.47008e-05,690,1.4948426e-07,-1.0872420837879182,0.0,0.0
71,3254,1817600,9000.0,-4330974.7850021,558,146870471.016,78256456.0,0.2,-1.1998806323390455e-05,2.4624e-05,700,2.0872568e-07,-1.0758322427272797,0.0,0.0
72,3278,1843200,9000.0,-4314302.421716711,562,136367920.2,67119152.0,0.2,-1.1334779439494013e-05,2.45472e-05,710,1.712516e-07,-1.0741905875205993,0.0,1.7881393432617188e-07
73,3301,1868800,9000.0,-4318751.90085559,566,118719188.928,61514364.0,0.2,-1.4885339885950089e-05,2.44704e-05,720,2.4494483e-07,-1.0575738738179208,0.0,1.1920928955078125e-07
74,3324,1894400,9000.0,-4317833.59124291,569,143811220.84,77530984.0,0.2,-1.1451223632320762e-05,2.4393600000000003e-05,730,1.7625047e-07,-1.075163665831089,0.0,5.960464477539063e-08
75,3347,1920000,9000.0,-4308142.091494841,573,136829784.984,65449440.0,0.2,-9.838407509960234e-06,2.43168e-05,740,1.6500708e-07,-1.079142393231392,0.0,0.0
76,3485,1945600,9000.0,-4308294.373107521,558,132053153.512,67998832.0,0.2,-6.431558344047517e-06,2.4240000000000002e-05,750,9.581214e-08,-1.0783860208392144,0.0,0.0
77,3508,1971200,9000.0,-4313206.46457782,561,144439859.88,65287760.0,0.2,-4.670796915888786e-06,2.41632e-05,760,6.815652e-08,-1.0756178506612777,0.0,5.960464477539063e-08
78,3532,1996800,9000.0,-4299129.26164898,565,152613829.816,70699520.0,0.2,-6.22210543951951e-06,2.40864e-05,770,9.052223e-08,-1.070398745894432,0.0,0.0
79,3555,2022400,9000.0,-4289128.227976791,568,110552447.344,55130776.0,0.2,-5.779631610494107e-06,2.40096e-05,780,9.664102e-08,-1.0633282551169396,0.0,-1.1920928955078125e-07
80,3578,2048000,9000.0,-4286193.25178078,572,108690978.616,53111356.0,0.2,-6.628549192100763e-06,2.3932800000000002e-05,790,1.0681804e-07,-1.0730652577877045,0.0,0.0
81,3716,2073600,9000.0,-4290761.186710331,557,126217298.344,64987688.0,0.2,-5.922642827499658e-06,2.3856e-05,800,8.9341775e-08,-1.0718828556537627,0.0,-1.1920928955078125e-07
82,3739,2099200,9000.0,-4278577.13656162,561,148116129.752,66251484.0,0.2,-4.97525668470189e-06,2.37792e-05,810,6.926013e-08,-1.0731105033159256,0.0,5.960464477539063e-08
83,3762,2124800,9000.0,-4276622.321948781,564,126813894.632,71929752.0,0.2,-7.2386127721983935e-06,2.3702400000000002e-05,820,1.2157717e-07,-1.0600141882300378,0.0,0.0
84,3786,2150400,9000.0,-4278158.19737001,567,157495262.28,66042144.0,0.2,-7.758549530990422e-06,2.36256e-05,830,1.2391247e-07,-1.0776902811527251,0.0,5.960464477539063e-08
85,3809,2176000,9000.0,-4265207.09186944,571,147731709.312,100225408.0,0.2,-3.5123289562761783e-06,2.35488e-05,840,5.0270465e-08,-1.0707997997403145,0.0,0.0
86,3947,2201600,9000.0,-4269245.3635761,557,100648227.744,49332388.0,0.2,-7.839561818400398e-06,2.3472e-05,850,1.2680655e-07,-1.0571390095353126,0.0,0.0
87,3970,2227200,9000.0,-4272810.427811461,560,147930971.256,78430872.0,0.2,-5.891668843105436e-06,2.33952e-05,860,8.071074e-08,-1.0675141581892966,0.0,0.0
88,3994,2252800,9000.0,-4272801.482607241,564,142077791.584,63583068.0,0.2,-6.741236138623207e-06,2.33184e-05,870,9.4445426e-08,-1.069771692931652,0.0,0.0
89,4017,2278400,9000.0,-4276778.579943281,567,150388530.68,86414728.0,0.2,-9.664598037488758e-06,2.3241599999999998e-05,880,1.5013619e-07,-1.065429206609726,0.0,0.0
90,4040,2304000,9000.0,-4268444.36515294,570,136445019.368,69472976.0,0.2,-6.975246884394437e-06,2.31648e-05,890,9.707408e-08,-1.0692691794633866,0.0,0.0
91,4178,2329600,9000.0,-4252657.00445306,557,124546064.864,66074032.0,0.2,-8.296538668219e-06,2.3088000000000003e-05,900,1.3099984e-07,-1.072632123529911,0.0,1.1920928955078125e-07
92,4201,2355200,9000.0,-4253944.0662871,560,117701652.544,50441160.0,0.2,-1.4682654873467982e-05,2.3011199999999997e-05,910,2.3816712e-07,-1.0536555550694466,0.0,0.0
93,4225,2380800,9000.0,-4251316.903572789,563,129480990.904,64371192.0,0.2,-9.559901896864176e-06,2.2934400000000002e-05,920,1.5547266e-07,-1.0638538128733634,0.0,0.0
94,4248,2406400,9000.0,-4243732.75017458,566,145541212.648,83839440.0,0.2,-6.619951920583844e-06,2.28576e-05,930,1.0435702e-07,-1.0789213910698892,0.0,-1.1920928955078125e-07
95,4271,2432000,9000.0,-4241052.0871238,569,133594557.936,68386312.0,0.2,-7.447773590683937e-06,2.27808e-05,940,1.1153053e-07,-1.0739868428707122,0.0,1.7881393432617188e-07
96,4409,2457600,9000.0,-4234941.507013639,557,151383804.704,78890640.0,0.2,-9.981304174289107e-06,2.2704e-05,950,1.4524674e-07,-1.0639051569104194,0.0,0.0
97,4432,2483200,9000.0,-4231412.2867634995,560,135054804.624,65411964.0,0.2,-3.937409375794232e-06,2.2627200000000003e-05,960,5.081063e-08,-1.0742383639216424,0.0,0.0
98,4456,2508800,9000.0,-4223193.839642109,562,149483859.424,75849752.0,0.2,-5.333152832463384e-06,2.25504e-05,970,7.172115e-08,-1.0624218381047248,0.0,0.0
99,4479,2534400,9000.0,-4224354.48951006,565,105677111.024,62371252.0,0.2,-1.0810785926878453e-05,2.24736e-05,980,1.901295e-07,-1.0451228309869767,0.0,-1.1920928955078125e-07
100,4504,2560000,9000.0,-4223284.71090715,568,129459216.824,64669600.0,0.2,-3.46752064069733e-06,2.2396800000000002e-05,990,4.2696485e-08,-1.0574287558794022,0.0,-1.1920928955078125e-07
101,4642,2585600,9000.0,-4214940.48587246,556,139129854.712,66857676.0,0.2,-4.728718718979508e-06,2.232e-05,1000,5.8976003e-08,-1.0722355006933213,0.0,1.7881393432617188e-07
102,4665,2611200,9000.0,-4205082.49136223,559,140893300.2,70112536.0,0.2,-9.69285995233804e-06,2.22432e-05,1010,1.5944941e-07,-1.0635023903250693,0.0,0.0
103,4689,2636800,9000.0,-4215789.64258827,562,135902312.392,76456664.0,0.2,-9.586349362507463e-06,2.21664e-05,1020,1.4366117e-07,-1.0587392842769623,0.0,-1.1920928955078125e-07
104,4712,2662400,9000.0,-4206730.09601108,564,169656629.904,98171608.0,0.2,-4.956717195454985e-06,2.20896e-05,1030,6.064773e-08,-1.0685532210469246,0.0,-1.1920928955078125e-07
105,4735,2688000,9000.0,-4202062.505898911,567,109890093.76,51659824.0,0.2,-1.4009295962750912e-05,2.20128e-05,1040,2.5178306e-07,-1.044217131793499,0.0,1.1920928955078125e-07
106,4873,2713600,9000.0,-4202317.8476147,556,129376252.792,68827520.0,0.2,-9.843909298069775e-06,2.1936e-05,1050,1.524645e-07,-1.0604775269031526,0.0,0.0
107,4896,2739200,9000.0,-4205082.260464899,559,133331412.952,75460544.0,0.2,-1.3453739113174379e-05,2.18592e-05,1060,1.9264408e-07,-1.0610835862755776,0.0,0.0
108,4919,2764800,9000.0,-4196586.837740399,561,140758401.784,60628516.0,0.2,-1.01576674496755e-05,2.1782400000000003e-05,1070,1.378567e-07,-1.0719697022438048,0.0,0.0
109,4943,2790400,9000.0,-4198058.39732746,564,135783099.816,64405384.0,0.2,-5.97523438045755e-06,2.1705599999999998e-05,1080,8.1660694e-08,-1.0655242537856102,0.0,0.0
110,4966,2816000,9000.0,-4199155.34724707,567,146059741.84,70779464.0,0.2,-8.342320215888321e-06,2.1628800000000002e-05,1090,1.1711148e-07,-1.061471292436123,0.0,0.0
111,5104,2841600,9000.0,-4188316.9444266395,556,126611754.656,60930104.0,0.2,-6.722839665599167e-06,2.1552e-05,1100,1.0046409e-07,-1.0498765184283256,0.0,0.0
112,5127,2867200,9000.0,-4183038.5923851808,559,99642748.68,51481676.0,0.2,-1.460953161586076e-05,2.14752e-05,1110,2.4296344e-07,-1.0547393057942391,0.0,0.0
113,5150,2892800,9000.0,-4191402.1928267605,561,132288862.576,71115360.0,0.2,-9.021163918077946e-06,2.13984e-05,1120,1.2667151e-07,-1.0635393931269645,0.0,0.0
114,5173,2918400,9000.0,-4192832.9403899503,564,147446336.848,78480128.0,0.2,-9.328053391072899e-06,2.1321600000000003e-05,1130,1.3346317e-07,-1.0549878718852996,0.0,-1.1920928955078125e-07
115,5197,2944000,9000.0,-4199119.908789459,566,127572922.12,56228156.0,0.2,-5.748987809056416e-06,2.12448e-05,1140,8.052448e-08,-1.0591680756807327,0.0,1.1920928955078125e-07
116,5334,2969600,9000.0,-4201159.96726039,556,146126869.744,76553544.0,0.2,-4.903671331703663e-06,2.1168e-05,1150,6.838003e-08,-1.0592477750182152,0.0,0.0
117,5357,2995200,9000.0,-4198984.53285833,559,156398636.424,79528576.0,0.2,-8.053074474446476e-06,2.10912e-05,1160,1.0727905e-07,-1.0449512260556222,0.0,5.960464477539063e-08
118,5381,3020800,9000.0,-4204635.50852697,561,106947363.144,51681420.0,0.2,-7.302275625988841e-06,2.10144e-05,1170,1.1693454e-07,-1.0433764824867249,0.0,0.0
119,5404,3046400,9000.0,-4187138.0959540396,563,147590016.824,77936432.0,0.2,-4.749531915877014e-06,2.09376e-05,1180,6.887596e-08,-1.0548257381916046,0.0,0.0
120,5427,3072000,9000.0,-4195175.46086281,565,126353030.464,62331368.0,0.2,-5.579432821832598e-06,2.08608e-05,1190,8.029863e-08,-1.0610182536244392,0.0,0.0
121,5565,3097600,9000.0,-4187998.70614758,556,131199411.192,70671120.0,0.2,-8.152106427587569e-06,2.0784000000000003e-05,1200,1.1044787e-07,-1.0566337324976922,0.0,0.0
122,5588,3123200,9000.0,-4179308.65098175,558,142059174.104,65065240.0,0.2,-7.747201016172766e-06,2.07072e-05,1210,1.01663176e-07,-1.062936994433403,0.0,0.0
123,5611,3148800,9000.0,-4170596.4070687997,561,132494869.888,74855144.0,0.2,-7.904845289885999e-06,2.06304e-05,1220,1.05402435e-07,-1.0627345244288444,0.0,1.7881393432617188e-07
124,5634,3174400,9000.0,-4162474.7876678896,563,111661961.592,61464904.0,0.2,-1.3381607132032514e-05,2.05536e-05,1230,2.3230677e-07,-1.0482694442272187,0.0,1.1920928955078125e-07
125,5658,3200000,9000.0,-4165589.872697079,565,108377778.096,55151036.0,0.2,-7.143318420276046e-06,2.0476800000000004e-05,1240,1.0826392e-07,-1.0513107942938804,0.0,0.0
